,C1,C2,C3,C4,C5,C6,C7,C8,C9
Croatia,-1.1383935485367274,-0.8871165895362192,-0.26239113339539105,-0.15170051534342058,1.3322283214205546,-0.15450061403482127,-0.4433305456350933,-0.32885560840835504,1.5101519445905703e-11
Hungary,0.46222479715038234,-0.42855621485050643,-1.3245910584778433,-0.6670999818921897,0.16535278088011834,0.46649855247000777,-0.30892252420768174,-0.1324563327554592,5.295499246687793e-11
Indonesia,3.2629682419683226,0.16419239628923468,1.4196511696906595,-2.4792252919417996,2.0526171762502012,-1.5407637787001278,-0.12804650398656497,1.5491419534671933,8.80877638380669e-11
Ireland,0.798668863175731,-1.6683679486320409,-0.7750965820843407,1.1217689175296002,0.8121762718220311,0.4116639719824071,0.1098588644828253,0.30631561454522854,1.7333154932876404e-10
Iceland,-0.14399615612962807,-0.8459766658256296,-0.44816420675442364,0.3719545468718687,-0.5227468773657242,-0.3490806884942962,-0.7152476285405435,0.09096697729976223,-1.7221582590619119e-10
Italy,0.4525651615079141,2.133297415258577,-1.2116363800400163,-0.23989355663191197,0.2958613779625146,-0.153807734215214,0.9389745772925855,-0.4097866301442904,6.582451143073028e-11
Kazakhstan,1.7197525833069196,-1.9731416532422807,0.5432510823881646,-0.38846887393880253,0.12803909573898878,0.07376627614431756,-0.04506818767271869,-0.6850677099638006,2.091055497132578e-10
Lithuania,-0.5086855524348407,-0.5942877415080338,-0.2929082544072788,-0.8640632530466996,0.10653132383660756,0.24038532703152557,0.050461297654023296,-0.37073815835845436,9.139802339206517e-12
Luxembourg,2.533886913820097,-3.3029114883314876,-0.619018999432681,1.2531958695901193,0.28809247360247703,0.2891130116609372,0.37419575971092683,0.32592555633339215,3.250521766424029e-10
Moldova,-3.630722782640949,1.961829196158266,0.45522212855708144,0.046956121433235604,-1.928939900180758,-1.0370796923961367,-1.51732190613336,0.2512821784618876,1.162037114577308e-09
Macedonia,-2.878138452610073,-0.6955891013186615,0.3970250111016572,-0.19640327299314683,2.7533941737170267,0.028798367599418763,-0.15857274929054418,-0.5082113965858948,6.649050875189475e-11
Mongolia,0.9460623122777897,-1.9586073185373443,0.3957151222155249,0.25652439631428897,-0.2480132121994235,-0.1067952757743411,-0.16856928313167804,-0.3354443370346384,6.5976637078264e-11
Malaysia,1.612135665917075,-1.79494529095884,0.269678027603334,-0.7044849215234542,-0.45831506644492076,-0.209690112344253,0.6422088954491757,-0.27544667414218993,1.6186811411051044e-10
Netherlands,0.6606524903439879,0.2443133740985997,-1.5344242443674132,1.5292163871791766,-0.31894194647225554,-0.13053970541009136,-0.564803812694598,0.6100453271047221,-1.4036311179200942e-10
Norway,1.7061200234676244,-1.2107530396803055,-1.1375632389908275,0.8857181680504975,-0.595787504003459,0.21410146623315,-0.15498615885818082,0.27309206745102194,5.2748877381557004e-11
Peru,0.8715260037150908,-1.1936831982318166,0.7299825780198766,-0.38838138528665217,-0.554390719473724,-0.23974546729640692,0.17607440481214948,-0.08607020864941375,-2.008214176388096e-12
Poland,-0.015058948025535068,-0.11178104050321792,-0.12590342180974165,-0.6658334885447814,0.29430209308519334,-0.265497164116909,0.08201814064816564,-0.1585138892275342,-1.1044279684854065e-11
Portugal,-1.2903074799942331,0.4143113808925766,-0.7253298329272991,-0.006141043198298399,0.5290328893492633,0.4193531543691183,-0.3347104146404513,0.15125066267956444,-1.1450473534612449e-10
Paraguay,-0.26887370737504723,-0.46089833235887506,-0.34896875639954616,0.10396663742250095,-0.7210698242426505,-0.3130077797299606,-0.7778384901755448,0.07740592025830244,-2.2078990235060418e-10
