,C1,C2,C3,C4,C5,C6,C7,C8,C9
France,0.004340330786255885,0.07574071720727096,0.016523284019642984,0.027863157653987208,0.0007945235049346763,0.0028223808682934343,0.06617519169746977,3.200382421808012e-06,-1.236616590528075e-12
United Kingdom,0.0008398866021838824,0.043175090790214615,0.0001273211890843767,0.022143894060164003,0.002043117862488608,0.14459089211966375,0.04121803012940578,0.042705996114993,-1.4596739066005343e-07
Georgia,0.035495007347183104,0.0043150250315067504,0.01800180953671748,0.04307612012835591,2.1786001207076144e-05,0.001377440319976311,1.4652007050774579e-06,0.03161346619186176,-4.28353489568601e-06
Greece,0.05686669172575595,0.00777366806745972,0.0005117485929479641,0.0012009332087576383,0.045520535664004706,0.044359171146210144,0.003513245629998435,0.009219364356275097,-4.623953931763901e-10
Guatemala,0.01714592680108262,0.0035235422409278737,1.4531365909897177e-05,0.0636484932572347,0.02565315640763592,0.04694801905267608,0.04389868630305996,0.04704782433702347,-1.2206661854860709e-05
Croatia,0.010016461722469942,0.007580368477367311,0.0009218115498280024,0.0004569342816942925,0.042373887831547746,0.0008169380770849528,0.00727966958876994,0.009145353468689051,-1.3140082471235286e-08
Hungary,0.0016513379627768707,0.00176906793306172,0.023491322791427204,0.00883611761220377,0.0006527757240652739,0.007447822540905879,0.003534723984467949,0.0014836636056917195,-1.6157368117984942e-07
Indonesia,0.08229153772334098,0.0002596779043143047,0.026984049420754625,0.12204264673468772,0.10059048595281117,0.08124578508140169,0.0006072839570409211,0.20294222663919279,-4.4708280717919635e-07
Ireland,0.004930182443163774,0.02681097397612911,0.008043692838142637,0.02498540736202997,0.015748586606416433,0.005799818986230583,0.00044701960319511993,0.007934658891573876,-1.7310596627485967e-06
Iceland,0.00016026226713620895,0.006893593711711149,0.0026891694602023497,0.0027470045208604415,0.006524149183323318,0.004170425495274251,0.018948254543468254,0.0006997735417505963,-1.7088459604447856e-06
Italy,0.0015830393916100465,0.04383608189060858,0.01965569678448708,0.0011426594001108896,0.002089861666659889,0.0008096271590272705,0.032656078021530685,0.014200562892792125,-2.4965029709103554e-07
Kazakhstan,0.02285922092744714,0.037501224150364824,0.003951345768734478,0.0029963468409751385,0.00039140483429920056,0.00018622776848963759,7.52309498951945e-05,0.03968779637458805,-2.5193465840172907e-06
Lithuania,0.0019999921458419357,0.003401907176435265,0.0011487011495270208,0.014824180753878093,0.0002709540435680841,0.001977628122983801,9.431335327198297e-05,0.011623169374125731,-4.813161185664614e-09
Luxembourg,0.04962539095811198,0.10508065868185311,0.005130406678662085,0.031182974515319702,0.001981548989344872,0.002860645188004625,0.005186257560056318,0.008983112135247997,-6.087836156669708e-06
Moldova,0.10188627036146251,0.037072451200277405,0.0027745372807225542,4.377882128421596e-05,0.08883382900046455,0.03680891190376795,0.08527305317243235,0.005339657079335831,-7.780308132262658e-05
Macedonia,0.06402548066860368,0.004660520823013493,0.0021104718680226065,0.0007659088219903247,0.18099966327487707,2.8383402846875222e-05,0.0009313511797432329,0.02184131536310766,-2.547276625973154e-07
