,PIB,Chelt_sanatate,Somaj_stud_sup,Sup,Forta_munca,Som_total,R_taxarii,C_final,Ec_brute
Egypt,-0.4371084054317502,-1.217643877557497,1.011788714607629,-0.024980055649619536,0.5532031858915836,0.5322048940599852,-0.014770172848790564,1.3081788041811198,-1.3081788041475153
Spain,1.0514897829361585,0.38970184038306244,0.09803848227682525,-0.19509285209999117,0.32973305649290297,2.641137832121743,0.9413144773248615,-0.08679347650994239,0.08679347645032538
Estonia,-0.6005419976793976,-0.9385856391694318,0.4984458655374827,-0.35325851263691416,-0.5848998531439068,-0.20833638326764153,0.5125249978530418,-0.7861347261882363,0.7861347262696815
Finland,-0.315825914817876,0.6085359616322473,-0.01489698353266355,-0.25260389256610943,-0.5031527721546215,-0.2727313770263812,-0.05533133982585475,0.08348597135653067,-0.0834859714504947
France,2.7840967917057906,1.5608985782291118,-0.01489698353266355,-0.18028012010983116,0.595744718411411,0.08144055175419453,1.5381430771302325,0.09183127748247685,-0.09183127757812419
United Kingdom,3.130618193459717,0.49007880648516433,-0.07649816443513772,-0.2851529717601918,0.7056151448753963,-0.38542242420736866,-0.35664286594118727,0.609219047522181,-0.6092190477221899
Georgia,-0.609369954723004,0.6226646650701307,1.9050051549475135,-0.34485775356214154,-0.5154023381948563,0.7575871416818265,-1.417027659770147,0.8985695895332123,-0.8985695897915847
Greece,-0.3360396632535217,0.7865040136790702,0.13910587118838033,-0.3234833661491728,-0.4111293473175148,2.786026605588938,0.18224120961123463,1.193772411384039,-1.193772411608306
Guatemala,-0.5710818449291457,-0.6583215702224287,-1.3187878983016166,-0.3314034933193814,-0.3459607852194005,-1.10986506804021,0.0026131844270938544,1.7347380976915414,-1.7347380982122245
Croatia,-0.5585859093791562,-0.27364902790709583,-0.6617089928680762,-0.3493585280398804,-0.5381208704295637,1.192252544456061,-1.248988539436596,0.1737006597604561,-0.17370065987261646
Hungary,-0.4587659930413706,0.03948246745422779,-1.2058524323894595,-0.33684836618108527,-0.43607907163483417,0.04924313150475772,0.48934718815186207,-0.6095874722493613,0.6095874722951955
Indonesia,0.024920130240151647,-2.0562373850302507,-1.390655877664409,0.28725216189530184,4.301494423660179,-0.5786070984808942,-0.5478597959759179,-1.108231428317494,1.1082314284639099
Ireland,-0.29272448803428086,0.4076102970798858,0.2520413369978691,-0.3446586346302507,-0.5247588268422502,0.5161062604042127,-0.87234913179243,-1.496425880578792,1.496425880803509
Iceland,-0.5957748102819013,0.4653311265964489,-0.07649816443513772,-0.3334255804035829,-0.6050035581481074,-0.6912982224528019,-0.6405710347806356,-0.154643916989741,0.15464391694381
Italy,1.9033548955812276,0.4787804814637525,-1.041582681672956,-0.2653337718669909,0.4123935142623503,0.3712176398749094,1.4338429334749243,0.1885606408207478,-0.18856064093590555
Kazakhstan,-0.48992102027121043,-1.556345207902197,0.015903509383431984,0.5666956709108654,-0.24253860004450176,-0.7556931395816086,-0.6927211066082894,-1.3595332977335186,1.3595332979306238
Lithuania,-0.5777662929279519,-0.7224365474381117,-0.4974393396867143,-0.34636831097648557,-0.5505334834195855,0.3068227993760358,0.11850223293299107,0.09759900387782186,-0.0975990039746316
Luxembourg,-0.5593609927098647,-0.36028018732816114,0.7551172900725558,-0.36789718721592135,-0.6021882620370874,-0.6430020156097008,-1.1852495627583526,-2.860698282163402,2.860698282663303
Moldova,-0.6175184504723886,1.619759136566936,0.23150754500695003,-0.35716536340401317,-0.5636307165487182,-0.7717918495453399,-0.06692024467644422,3.18576314428888,-3.185763142199108
Macedonia,-0.6118715267333412,-0.6352514450164239,-0.48717244369125473,-0.3599598946205497,-0.5745957446378047,3.0758035407717617,-1.9385283780466844,1.0333687565697547,-1.0333687568553174
Mongolia,-0.6160289182875605,-0.8183445999970844,0.4779120735465636,0.16818933987969492,-0.5602524819313999,-0.7878905596700583,-0.9476770133212632,-1.0071774485292266,1.007177448655259
Malaysia,-0.32304511068774944,-1.6525482474630893,0.2520413369978691,-0.25521990336095074,-0.08981479163797186,-1.0776676094758066,-0.10168695922821347,-1.222385112261498,1.222385112430938
