,C1,C2,C3,C4,C5,C6,C7,C8,C9
Croatia,0.30291930845482057,0.183951573319706,0.016093126159830076,0.005379181736396737,0.4148579613488276,0.005579593048675372,0.0459406796308544,0.025278576300889106,5.330689632009083e-23
Hungary,0.0723062761091487,0.06215629357615101,0.5937903731410072,0.15060915500225222,0.009253212175174459,0.07364955296818083,0.0322974819195662,0.0059376551085193454,9.490374169758738e-22
Indonesia,0.38244337564588554,0.0009683838354148774,0.07239436086623742,0.2207869685433349,0.15134126738832274,0.08527339805902916,0.0005889479307122655,0.0862032977310631,2.78722879250883e-22
Ireland,0.10262667627740236,0.44782716370348563,0.09665813263650033,0.20245735628196526,0.10612735766749294,0.027265437902924662,0.0019417663406840534,0.01509610918954471,4.833725624329849e-21
Iceland,0.010416463559163975,0.35953011133115487,0.10090038813053658,0.06950215085265403,0.13727814282616588,0.06121673298048986,0.25699895284863855,0.004157057471196199,1.4899257233805254e-20
Italy,0.027520887030087822,0.6115092124926217,0.19726262107048093,0.007732810302252915,0.0117618799148959,0.0031787512122619065,0.11846985520357652,0.02256398277382234,5.822043935448311e-22
Kazakhstan,0.37965719387991453,0.4997769494177556,0.03788444183877551,0.019371896759822402,0.002104480418484885,0.0006985144787241186,0.0002607353288487727,0.0602457878776742,5.612945314008949e-21
Lithuania,0.15649604833000566,0.21359845826547114,0.05188810268917179,0.45153938918375996,0.006863714608480062,0.03494785134222382,0.0015400024035523267,0.08312643317733537,5.0521725720938515e-23
Luxembourg,0.325978721690854,0.5538710505999466,0.019454620031007147,0.07973568044691001,0.00421384561561748,0.004243752725750725,0.007109065552639269,0.005393263337274693,5.364397509403362e-21
Moldova,0.5402053446168619,0.15772301950725345,0.008492184600448444,9.035602772424586e-05,0.15247901893160748,0.04407547041911937,0.09434701227030229,0.002587593626682861,5.533662839219221e-20
Macedonia,0.49222185498580356,0.028750345404421253,0.009366412110618005,0.002292107440389283,0.45047874803890076,4.92802918497726e-05,0.0014941515202333958,0.015347100207783954,2.6269804519174193e-22
Mongolia,0.17320691026922727,0.7423701079292415,0.03030337670806639,0.012734534635715729,0.011903518875769924,0.002207139654418575,0.0054989859529101645,0.021775425974650434,8.423761859586971e-22
Malaysia,0.3644030744915346,0.45173245334597123,0.010196942878307467,0.06958606275237017,0.029451480328421358,0.006165023905109412,0.0578271107370568,0.010637851561228985,3.6736812690313254e-21
Netherlands,0.07275532654557754,0.009949771901009943,0.39247278326869667,0.3898131881418441,0.01695672286172621,0.0028405595480251594,0.05317578146467846,0.06203586626844196,3.2841623426962847e-21
Norway,0.4185426028607507,0.21078109042830617,0.1860679655355867,0.11280065384914643,0.05103913330791146,0.006591128729201415,0.0034538728116970487,0.010723552477400141,4.000801030119954e-22
Peru,0.23218197614908104,0.4355579707941562,0.16288938904171377,0.04610888462937142,0.09395063223280202,0.01756987266032894,0.009476768285483776,0.0022645062070628403,1.2327864746496753e-24
Poland,0.0003431447216196175,0.01890707512544272,0.023986292267135882,0.670840575846316,0.13106138579311036,0.10666153444208655,0.010179065132112855,0.03802092667217614,1.845707369986306e-22
Portugal,0.5637344658099612,0.05812217857095617,0.17813909380244392,1.2769457958913215e-05,0.09476620794833479,0.059545368342290295,0.03793382265327113,0.0077460934147836145,4.4395101421134356e-21
Paraguay,0.04391382479494075,0.12903718117588925,0.07397375853980462,0.006565874684235884,0.31583425877074595,0.05951341308908765,0.36752209486288373,0.003639594082412035,2.9611677347500046e-20
Romania,0.04829322984613541,0.22088864917089587,0.029203258013654823,0.6042683605417417,0.005288513080155776,0.008750137389057827,0.00010797423704801294,0.08319987772131043,3.47383240070733e-22
Russian Federation,0.31459932653555117,0.08796092387906189,0.4573075575611817,0.021297993811661146,0.002242441426310862,0.07613080268558563,0.028872625036292794,0.011588329064354827,2.0785783155173444e-22
Serbia,0.7453792221844541,0.055143835871017656,0.015052701897383213,0.006803471792449949,0.11287124779060949,0.01846128213603866,0.03910846580270303,0.007179772525343854,1.8829321699466003e-22
Slovak Republic,0.004177696450011736,0.02386390830882689,0.5494697383426926,0.13253740650650522,0.09347216448890042,0.18018952654813367,0.012517562761571894,0.0037719965933575546,1.4323431931978184e-21
Slovenia,0.01930943022750411,0.3987493738219246,0.3133480530063135,0.07389751456124444,0.010234068125918374,0.0009967952831027211,0.17229739004222588,0.011167374931766252,2.7708988682793775e-21
Sweden,0.1319685496115895,7.190565780169632e-05,0.5580733436456703,0.05810128016437936,0.12413041676161413,0.11250891476727301,0.00021596621054888833,0.01492962318112309,6.1395253259545885e-22
Thailand,0.30252733458784603,0.24682207658141384,0.21157071672452576,0.016489416591237444,0.038785224074784824,0.11943134714281241,0.02900817785412765,0.035365706443252175,1.0175690767790317e-22
Turkey,0.04405890241176149,0.0679182749888334,0.23172433793439373,0.33205955087460187,3.5371695510645443e-06,0.24131765380178327,0.04414134236201103,0.038776400457063986,3.760014479235504e-21
Ukraine,0.15747091308007993,0.017633406429937784,0.3269593759160533,0.01091676574163683,0.29506488281829657,0.0073201858704557594,0.08486587270873121,0.09976859743480863,7.034757875586898e-23
